endpoint,app_telemetry_endpoint,app_requests,average_requests_per_minute,peak_requests_per_minute,app_share_percent,nginx_matching_requests,response_bytes,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,total_request_seconds,total_upstream_seconds,nginx_4xx,nginx_5xx,match
HEAD /.vscode/settings.json,HEAD /.vscode/settings.json,1,0.016666666666666666,1,0.005092427560217956,2,0,2.0,0.0,4.0,4.0,4.0,0.004,0.004,1,0,exact normalized path
HEAD /bootstrap/cache/config.php,HEAD /bootstrap/cache/config.php,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /config.yml,HEAD /config.yml,1,0.016666666666666666,1,0.005092427560217956,2,0,2.0,0.0,4.0,4.0,4.0,0.004,0.004,1,0,exact normalized path
GET /api/config,GET /api/config,1,0.016666666666666666,1,0.005092427560217956,2,2168,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
GET /app,GET /app,1,0.016666666666666666,1,0.005092427560217956,2,4982,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
GET /checkout,GET /checkout,1,0.016666666666666666,1,0.005092427560217956,2,2168,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
GET /settings,GET /settings,1,0.016666666666666666,1,0.005092427560217956,2,2168,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
GET /signup,GET /signup,1,0.016666666666666666,1,0.005092427560217956,2,4982,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /.cursor/mcp.json,HEAD /.cursor/mcp.json,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /.docker/config.json,HEAD /.docker/config.json,1,0.016666666666666666,1,0.005092427560217956,2,0,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
HEAD /.env.production.local,HEAD /.env.production.local,1,0.016666666666666666,1,0.005092427560217956,2,0,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
HEAD /.netrc,HEAD /.netrc,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /.pypirc,HEAD /.pypirc,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /config.yaml,HEAD /config.yaml,1,0.016666666666666666,1,0.005092427560217956,2,0,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
POST /races/:id/messages,POST /races/:id/messages,1,0.016666666666666666,1,0.005092427560217956,1,455,157.0,157.0,157.0,157.0,157.0,0.157,0.157,0,0,exact normalized path
HEAD /new/,HEAD /new/,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /old/,HEAD /old/,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /,HEAD /,1,0.016666666666666666,1,0.005092427560217956,2,0,2.0,0.0,4.0,4.0,4.0,0.004,0.004,0,0,exact normalized path
HEAD /backup/,HEAD /backup/,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /blog/,HEAD /blog/,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /wordpress/,HEAD /wordpress/,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /wp/,HEAD /wp/,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
PATCH /races/:id,PATCH /races/:id,1,0.016666666666666666,1,0.005092427560217956,1,3278,99.0,99.0,99.0,99.0,99.0,0.099,0.099,0,0,exact normalized path
